bias_abs_V,input_a_V,input_b_V,common_V,output_A,effective_mA,delta_M_independent
8.0,2.1319999999999997,-4.0,-4.138068001001714,-0.012703723680915414,12.703723680915415,0.0
8.0,2.296,-4.0,-4.087406214482479,-0.012870374294465529,12.87037429446553,0.0
8.0,2.4599999999999995,-4.0,-4.036744427963245,-0.013037024908015641,13.037024908015642,0.0
8.0,2.6239999999999997,-4.0,-3.98608264144401,-0.013203675521565756,13.203675521565756,0.0
8.0,2.788,-4.0,-3.935420854924775,-0.013370326135115872,13.37032613511587,0.0
8.0,2.9519999999999995,-4.0,-3.88475906840554,-0.013536976748665988,13.536976748665987,0.0
8.0,3.1159999999999997,-4.0,-3.834097281886305,-0.013703627362216104,13.703627362216103,0.0
8.0,3.2799999999999994,-4.0,-3.7834354953670704,-0.013870277975766215,13.870277975766214,0.0
8.0,3.4439999999999995,-4.0,-3.732773708847836,-0.01403692858931633,14.03692858931633,0.0
8.0,3.6079999999999997,-4.0,-3.6821119223286005,-0.014203579202866447,14.203579202866447,0.0
8.0,3.7719999999999994,-4.0,-3.631450135809366,-0.014370229816416558,14.370229816416558,0.0
8.0,3.9359999999999995,-4.0,-3.5807883492901316,-0.014536880429966674,14.536880429966674,0.0
8.0,4.1,-4.0,-3.530126562770896,-0.01470353104351679,14.70353104351679,0.0
8.0,4.263999999999999,-4.0,-3.4794647762516613,-0.014870181657066904,14.870181657066905,0.0
8.0,4.427999999999999,-4.0,-3.4288029897324273,-0.015036832270617017,15.036832270617017,0.0
8.0,4.592,-4.0,-3.378141203213192,-0.015203482884167133,15.203482884167133,0.0
8.0,4.755999999999999,-4.0,-3.327479416693957,-0.015370133497717247,15.370133497717246,0.0
8.0,4.919999999999999,-4.0,-3.2768176301747225,-0.01553678411126736,15.536784111267359,0.0
8.0,5.084,-4.0,-3.226155843655487,-0.015703434724817476,15.703434724817475,0.0
8.0,5.247999999999999,-4.0,-3.1754940571362527,-0.01587008533836759,15.87008533836759,0.0
8.0,5.411999999999999,-4.0,-3.1248322706170173,-0.016036735951917708,16.03673595191771,0.0
8.0,5.576,-4.0,-3.074170484097783,-0.01620338656546782,16.20338656546782,0.0
8.0,5.739999999999999,-4.0,-3.0235086975785483,-0.016370037179017933,16.370037179017935,0.0
8.0,5.903999999999999,-4.0,-2.972846911059313,-0.01653668779256805,16.53668779256805,0.0
8.0,6.068,-4.0,-2.922185124540078,-0.01670333840611816,16.70333840611816,0.0
8.0,6.231999999999999,-4.0,-2.871523338020843,-0.01686998901966828,16.869989019668278,0.0
8.0,6.395999999999999,-4.0,-2.8208615515016087,-0.017036639633218394,17.036639633218392,0.00015849570836901083
8.0,6.559999999999999,-4.0,-2.7701997649823737,-0.017203290246768504,17.203290246768503,0.0009283045023333325
8.0,6.723999999999999,-4.0,-2.719537978463139,-0.017369940860318622,17.36994086031862,0.001784645840537391
8.0,6.887999999999999,-4.0,-2.6688761919439044,-0.017536591473868737,17.536591473868736,0.0027367466364307536
8.0,7.051999999999999,-4.0,-2.6182144054246694,-0.017703242087418847,17.703242087418847,0.0037946973453850674
8.0,7.215999999999999,-4.0,-2.567552618905434,-0.017869892700968965,17.869892700968965,0.004969503603234282
